Model,Accuracy,Precision,Recall,F1_Score,AUC
Logistic Regression,0.8130206726319037,0.5508893280632411,0.7863187588152327,0.6478791400348635,0.8803703289014856
Random Forest,0.8930885529157667,0.7450980392156863,0.7771509167842031,0.7607870210562651,0.922984389378717
